fromId,toId,distance
694,390,599.9208549913293
390,122,420.5107376992877
122,610,200.17750580849088
610,744,704.0683519129639
744,331,536.9998040052158
331,313,515.3713376481066
313,98,594.1199499222696
98,487,241.99138402664113
487,805,384.1230138760361
805,70,742.7356377347555
70,222,616.2817120133651
222,555,520.9993357833844
555,739,414.87302167268643
739,37,373.84262476519916
37,778,561.4267827826857
778,407,203.96324548805222
407,477,173.9799196984016
477,742,210.97567184539935
742,497,297.8296925565559
497,468,171.9818696644697
468,577,170.99986404927708
577,138,171.99801200662975
138,808,171.99983869763977
808,210,171.85630024245475
210,241,170.9567055517564
241,738,171.8497480139848
738,543,172.92763436759128
543,268,453.88140692371076
268,482,255.29527350464934
482,638,394.8146570501403
638,310,428.2841476608139
310,619,465.96959377771805
619,193,620.8555578681494
193,425,439.00000028265333
425,528,286.18672653649037
528,539,444.7275389082528
539,720,579.6947430903112
720,721,539.7439290497873
721,540,600.7781485822519
540,697,451.2512464499222
697,253,470.8036260013197
253,263,354.75220834516847
263,34,269.92927340270165
34,723,452.0112374344343
723,399,649.026479413867
399,278,334.9719934374221
278,531,405.0267526199281
531,467,471.99305013458337
467,295,275.57341688056516
295,726,502.15507316453557
726,567,440.53659802187326
567,507,331.247154242303
507,412,412.9355927956904
412,737,364.1669110059058
737,799,262.3795598848115
799,440,232.42253724144734
440,267,587.3648648252793
267,608,619.7520547118002
608,406,553.4703624741018
406,20,336.00000022807274
20,348,357.00000025826256
348,580,491.2176611154793
580,532,389.93693600083003
532,245,408.63710985182144
245,802,479.9977219462259
802,22,579.9998720177732
22,395,620.0000004821952
395,254,522.1129658295695
254,641,451.7514304660605
641,227,348.0865768355426
227,595,344.46655264117226
440,832,357.3389305509943
832,520,297.84773620078187
520,252,586.4512934680052
252,130,320.93752988132945
130,600,444.49276311752703
600,773,543.0493339996162
773,257,500.2559920829165
257,21,742.0696078195958
21,828,518.8065446493378
828,603,520.2043106988218
603,73,521.8977660539061
73,411,519.9991607866815
411,27,525.9279823244879
27,39,611.2558259127771
39,457,555.4416236664723
457,6,517.4586122346108
6,711,529.9997978885347
711,623,511.2918996278869
623,109,520.0000003703036
109,688,522.4258133808816
638,277,173.26638391227158
277,54,449.46355867942106
54,165,314.19544936310615
165,414,427.4765671901486
414,214,289.5005463952326
214,248,356.4718125536564
248,259,224.356160363349
259,698,542.8670228129124
698,959,140.60895024442613
959,373,396.01929455497515
373,132,664.6826175228161
132,838,256.9733637036035
838,319,539.063531852139
319,441,444.9807339084691
441,625,513.9318748122672
625,334,32.20506038349282
334,585,451.3241092337709
585,751,211.91560696266973
751,635,338.2495579630309
635,311,348.6389759917234
311,250,280.9216978284216
250,65,933.7416058893873
65,549,405.10112791190653
549,336,378.7759529262974
336,273,317.4191691486047
273,709,313.13014689597713
709,23,57.000000051701505
23,388,544.9407487017564
388,194,106.86734774317942
194,601,175.0000001568956
601,642,360.00000032554016
642,238,602.9911551469577
238,481,504.919852898195
481,511,540.3430648264854
511,710,399.9539499199301
388,945,1323.8871291977453
945,929,13.70660311875224
751,450,407.5008501153616
450,209,598.7484810769087
209,149,290.41110264201967
149,687,444.04840207383313
687,63,368.6412520959861
63,405,482.881021084968
405,192,431.7193993270078
192,426,471.12280380135496
426,454,396.10631341616835
454,78,300.2163130697994
78,66,420.2291710460327
66,643,414.14888446525015
643,978,214.24632131412218
978,824,20.052634360000464
824,60,21.000000020396165
60,464,327.6556397949893
464,89,241.57826315541425
89,75,400.16376633791486
75,598,261.64597999329624
598,164,411.52614522533105
164,836,599.890187194173
836,460,391.30712432862106
460,325,397.23738830980955
325,48,334.8608577342492
48,159,339.59087616642347
159,16,367.8762974230961
16,216,257.4033119791833
216,645,316.64753351259026
884,927,439.4347835796442
927,902,5.46929854234427
643,970,686.734509365956
970,756,0.9384708706855283
756,242,161.9175102171004
242,696,365.5877712812246
696,700,259.98645334439254
700,305,409.9284053687327
305,366,599.6937319547953
366,460,393.37816620408836
75,884,110.67706609583045
426,719,396.5160241658215
719,147,299.74593286140305
147,764,419.86153569559406
764,93,280.1238831668912
93,413,311.7686908428633
413,813,210.10625214418235
813,885,1014.2364975187589
885,950,3896.4255655862785
950,941,752.278857252068
93,380,591.9345585863479
380,524,579.9429704845409
524,663,437.6647117892995
663,46,280.57586965953567
46,19,550.098860182501
19,548,400.7793481571059
548,673,461.108586038544
673,289,598.2611008438271
289,508,299.8200864512902
508,296,551.4869557863067
296,793,15.522764639374172
793,223,571.0566326867231
223,224,349.997910301958
224,430,115.55103322088372
430,124,299.6867843623539
124,228,444.9669934752905
228,630,250.00000016503938
630,434,539.4622872992065
434,575,406.1132712529671
922,917,1162.6036006482038
917,923,1870.011429162551
923,903,853.1083943020196
903,841,269.43265294092674
841,631,1006.9231272865196
631,634,554.0007843304314
634,529,559.2216243222279
529,315,558.9585921770015
315,113,558.999764742119
113,424,461.8929372055065
424,490,599.998595914382
490,157,599.9998488621118
259,31,271.7817792000254
31,573,249.59268821674846
573,979,8.346788807528366
979,665,223.70143197944816
665,400,214.8808363714735
400,415,128.28697667423722
415,458,689.9917342648627
458,185,120.36722178926404
458,668,214.50576149221615
668,494,547.1874048675201
494,52,444.99574139558956
52,920,505.35686465391217
920,901,499.7529542971396
901,906,1520.4271512003734
906,881,26.918532753060564
52,870,4179.806675979746
870,333,402.6956853243342
333,964,257.92718488157624
964,349,508.840740178255
349,685,669.2571495494826
685,804,571.4608304258223
804,518,485.3921414137115
518,131,488.2143172679609
131,447,429.38546013018527
447,622,229.0098748573859
622,81,391.26822732505843
81,975,540.7671219623537
975,594,396.3504851304686
594,848,359.31484276525026
848,870,3986.7794176724774
594,552,235.14794421857104
552,382,499.9769700060697
382,535,399.9647318008521
535,137,264.58244956908663
137,652,70.00000006198506
652,717,233.43117590409008
717,55,435.92516180649227
55,139,402.725676466544
139,25,145.5949292305266
25,206,298.2397922846486
206,732,403.5550228007902
732,516,243.56574318485062
516,372,13.104454069653562
372,958,406.7703061511311
958,28,2.65574683323692
28,967,17.839338689701655
967,545,201.14497679017208
545,169,149.61916979536025
530,401,350.9839893451735
401,330,240.98991004087523
330,205,284.7735088307259
205,437,175.9449067967241
437,115,274.8962864024649
115,759,318.2506792376823
759,515,170.84700181461199
515,581,169.91071094096668
581,249,169.85900810033073
249,609,169.99766513092084
609,593,171.00000011643368
593,427,171.00000007337215
427,410,171.99974717625037
410,207,168.99979490468795
207,488,417.68598808094816
488,473,595.3806949051243
473,264,430.644006090298
264,660,379.2217399393198
660,471,432.96440840744094
471,662,471.99993119752884
662,798,471.8721818283356
798,270,573.4172938191566
270,542,581.7088960415593
542,634,544.9445067813749
169,955,294.34617229472445
432,606,275.9810096554881
606,560,230.11858701852913
560,4,287.765939531043
4,370,176.95904987711106
662,70,521.5430624495108
70,270,527.0166188586758
172,498,307.4965180596296
498,597,170.81112178958318
597,496,169.85491149040138
496,757,169.92514268839926
757,649,171.00000010764822
649,314,169.99559372511334
314,363,170.99998936961816
363,671,171.9964754698496
671,276,168.9996817921705
276,753,417.90507523510774
753,197,294.91175220527646
197,256,300.53685367536883
256,782,426.42678354128464
782,639,378.78007410849045
639,251,418.62716921384106
251,461,472.00000038217235
461,646,522.2326841778041
646,188,582.4036852954474
188,631,559.160342457941
732,445,249.74440631431986
445,220,340.6241481483467
220,416,204.11564087567905
416,489,204.0000001767263
489,615,270.2362885332202
615,173,617.8276499726019
173,659,336.87448411767303
659,554,376.31630111228753
554,465,600.0000005347339
465,240,600.2685843315434
240,735,402.7360504677027
735,699,293.1115423380745
699,702,363.88035524885765
702,284,634.9773763247024
284,587,600.000000524554
587,680,350.87537046060925
680,258,335.66526559354105
258,755,569.2871548093012
755,492,329.9998317545352
492,347,350.73482593008885
961,713,417.3431298849229
713,626,439.12583215349963
626,528,284.59681152997615
81,236,1100.0856118605413
236,304,503.70680350920765
304,796,392.9509082644783
796,100,564.9522183554692
100,182,442.5350344465125
182,316,105.90676507324966
316,36,1090.3462462869943
36,982,605.6930769543686
982,545,333.7424972244328
36,466,304.69931449933006
466,178,346.9831225194899
559,118,320.0000002820965
118,653,400.00000034692175
653,550,349.9439856503666
550,574,501.81250296318865
574,409,480.0000004281126
409,271,585.3764543678868
271,678,716.741877148336
678,279,448.2334854765166
279,833,599.8054232208747
833,667,600.0000005279186
667,628,398.988060004689
628,491,371.63227948630947
491,670,374.40239236949907
670,766,349.984553208105
766,215,606.8118214734562
622,29,457.4168402799254
29,417,324.13137143309314
417,829,225.32358361513167
829,294,451.806278421693
294,835,666.077687692487
835,614,377.1748563903566
614,682,607.718655715967
682,364,435.90138674932723
364,226,591.5138749224117
226,837,548.163430408564
837,506,451.1905893807584
506,629,299.98686336473384
629,783,504.77557660594346
783,459,725.4037900960083
459,736,283.1957580032922
736,544,757.0159663304954
544,734,565.922256433482
734,472,398.66395742800364
472,353,282.9256778801653
353,502,192.15938598683874
502,718,559.0309996541761
718,715,399.3901499624261
715,534,350.91073767624783
534,600,1043.1299544623453
518,803,487.8787577059541
803,541,424.6035623218536
541,408,229.87100110568886
408,269,449.53566955041254
269,128,319.9467984830422
128,651,169.89076184069094
651,495,526.4999053362225
495,835,659.7442797673826
333,789,449.4018251798967
789,72,338.7683758747169
72,89,501.3250369915579
494,335,436.8805135822103
335,503,289.39793055036716
503,504,222.3728916710769
504,647,406.5687159596506
647,519,549.5532598751652
519,209,739.7214560190496
647,583,532.6736731357121
583,752,535.883090123239
752,493,353.89032427702637
493,449,311.9008190108091
449,65,493.35953572815606
487,794,380.47071942652326
794,444,313.40423855141813
444,420,431.47917814426955
420,708,625.0910185065292
708,120,524.9986643236648
120,484,393.94877803431683
484,456,377.8466103632857
456,743,555.5111718351101
743,243,206.91559498264186
243,324,176.96687573643354
324,59,211.97958664725888
59,463,278.23080128754447
463,389,171.99847738485545
389,74,170.9985594730037
74,607,171.99612721303342
607,462,171.99382633573268
462,86,171.92343574472807
86,705,170.977224918039
705,428,171.9295262578284
428,429,172.8674427025458
429,117,303.5328239625151
117,588,360.9731896383409
588,201,344.815280696083
201,123,269.00000017424964
123,54,452.7301036085902
123,103,328.3176928013825
103,557,448.66336946615917
444,291,158.1191649132752
291,946,462.16525876389045
946,908,895.6469654422099
908,930,1855.4055360102852
930,905,1162.6482168591328
905,956,4366.652302743568
956,121,743.2449509192115
121,229,389.3547402649156
229,190,118.96890865114095
190,521,382.30066779779276
521,621,601.317645791859
621,231,476.795851622045
231,391,344.7457860037931
391,727,396.86858788838055
727,211,262.3628498009593
211,419,441.10485754169497
419,287,386.4736553948208
287,729,304.21142022182926
729,804,513.3447058492552
621,213,476.4067701392091
213,290,344.8427821845418
290,275,400.3872011592353
275,211,257.52545528554464
275,966,67.44277239813114
966,789,70.55133195028671
290,818,344.24482781817943
818,965,81.34565229924694
965,885,933.6815543919308
229,846,566.4585065352161
846,869,704.6911679755626
869,213,309.33590123066784
548,922,5274.928280581494
731,716,415.04317200546365
716,527,789.9549506419868
527,767,434.9648344358782
767,787,458.9777280624272
299,788,336.2467389405019
787,299,326.68500320724064
788,293,374.1769388178965
293,13,517.6127425451878
13,714,401.2243981955595
714,121,590.5911054018691
293,558,520.8255788359023
558,564,201.97112298727913
564,922,4602.532910334619
452,345,325.83050657888316
345,712,257.2787262713536
712,675,366.77699520380486
675,733,301.8433425584383
733,239,7.999999995969451
239,91,572.7320850369728
91,107,261.78176862513135
107,71,438.5483585536919
71,232,259.99866337841524
232,822,300.6301169099026
822,681,383.20035088728895
681,740,196.99875422413638
740,589,507.70645003774337
589,255,672.8122485955854
255,868,36.45213821620477
868,885,951.4085405864502
740,973,539.8388996027825
973,92,148.99255472633612
92,133,325.49004552486065
133,972,82.02920773190164
972,501,67.93955309435944
501,760,307.0659499368456
760,857,351.21452877280535
857,865,576.3824392564915
865,19,336.9804444733359
760,663,434.3914281346523
92,84,557.2080321594292
84,349,612.4474972931504
239,69,581.4811426663682
69,5,487.8555931085974
5,379,531.8417756877161
379,50,595.6479935823197
50,442,380.96478902168866
442,706,321.24097921874596
706,92,215.53118128906272
50,637,204.90101546429185
637,127,173.25432881467714
127,376,471.4021061166535
376,255,544.7111876659678
893,880,3785.053526300022
933,893,734.5281943534382
880,870,885.9892408881198
386,198,600.7926638606375
198,562,320.0564078001656
562,61,495.3236933017914
61,572,296.49730183409883
572,584,460.00000041585827
584,547,599.8657521213743
547,611,635.3534187292461
611,119,480.37343893706276
119,286,438.12703053693474
286,672,459.88956314853283
672,203,162.35374659151233
203,362,458.3215501189332
362,233,651.2604136345583
233,741,267.22475274697894
741,594,391.07179825371395
367,151,295.4695737661549
151,85,504.12393912291554
85,825,397.00000030677757
825,513,252.8406362291595
513,45,501.9988526354579
45,439,650.5703364952041
439,217,595.9999578495504
217,99,453.99770697940465
99,656,398.62877106107527
656,724,399.99059804270905
724,344,225.00000015285394
344,605,481.9374696780698
605,695,494.28169668697967
695,292,555.5667987705295
292,218,349.03217389884355
218,346,384.05914728740066
346,683,413.81928669579236
683,505,183.11540648288005
505,499,440.467359021812
499,701,252.40993124351124
701,274,555.8026967470724
274,689,771.0078880764147
689,58,285.7610527585743
58,830,358.55443238992746
830,30,405.3389534094691
30,831,476.77814266691746
831,797,256.0101792319822
797,568,649.8318866402702
568,14,334.7863030433411
14,94,370.1409143229733
94,101,234.95726642593775
101,365,430.4191280120043
365,195,284.95017195867223
195,317,354.910848642313
317,500,613.509642217096
500,746,442.9683412094359
746,356,508.8468656167247
356,811,485.9103399251443
811,446,523.0693859405643
446,546,309.7126088612543
546,405,461.26504984468295
356,404,361.7888642970484
404,233,408.518546929134
695,221,552.705667185027
221,533,626.8224666504142
533,666,874.3802129909045
666,143,258.00000020480866
143,845,364.27703646962465
845,847,498.10309803281217
847,604,385.06643676281846
143,754,703.6922830798187
754,604,543.5211697444195
604,616,368.45111620508004
616,359,325.29778516572406
943,870,4486.664645680558
943,885,5176.217507283012
906,915,1509.0624607413406
915,943,510.19872480481763
881,906,26.918532753060564
881,855,4261.212567361545
840,881,4275.907654300565
265,307,520.2718624023561
307,329,320.00000021057014
329,170,627.5022471505624
170,282,352.8959722662386
282,761,515.1126299378153
761,669,551.3739777763888
669,260,499.99203539617736
260,686,519.5303207296743
686,343,550.6473122896687
343,112,455.85177413804183
112,443,439.674270779167
443,483,267.4208792154219
483,64,218.65338758039277
64,976,233.26377923112537
976,97,59.73622098834515
97,963,241.8043060863253
436,56,143.08378582489703
56,357,107.98526210625415
357,453,298.96993052283693
453,618,243.69716069713635
618,7,135.53669661948013
7,665,243.40072051072366
97,340,786.2077053591188
340,725,435.37373760105027
725,954,276.02351036561214
954,790,192.53798501416173
790,659,484.40917762417337
343,327,455.1558536271587
327,775,454.7514025788141
775,155,278.79633324613496
155,280,219.99701999134837
280,234,297.9988661203997
234,95,315.85344957706525
95,134,266.00000017145936
134,166,284.99222857562864
166,530,602.3503734851762
359,265,531.3923823066151
963,436,109.51179976459466
359,840,264.2965639077607
855,265,285.41143131979123
916,938,1858.6100221635832
938,916,1858.6100221635832
916,915,436.6425416495468
916,906,1511.3729407782805
911,951,7.643948819447497
951,911,7.643948819447497
951,895,1149.3541808960088
951,894,1147.4406289286028
895,931,680.8665702323237
894,918,680.3715050077587
931,881,3353.5945618636233
918,881,3366.7174528845912
745,272,520.1832211759066
272,438,520.0000003799604
438,145,510.8458406757392
145,474,529.9970359867195
474,691,517.6660021328232
691,106,484.8024828070729
106,526,309.69788896546913
526,612,360.21017330101273
612,800,532.4628170879133
800,613,519.9943853431705
613,722,520.0928726122565
722,517,519.8764261332011
517,396,520.5175738991566
396,212,745.310003249812
212,674,500.83374995332713
674,624,503.4429628523829
624,636,501.4929687850633
636,677,337.99965060409977
677,285,298.47442526175155
285,728,464.1841266932278
728,455,496.95665799157774
455,666,702.9490306119014
636,394,603.2021746973859
394,795,347.8793311434031
795,658,399.70774242087043
658,183,422.6136664504245
183,683,130.77720917178252
478,96,296.2723842060661
96,704,263.20808613340904
704,49,381.4909920495629
49,570,199.65073370008986
570,406,673.6238887237411
413,302,290.13333744858136
302,760,577.2755344229945
809,661,327.8761147901223
661,43,164.0000001445055
43,230,400.9670485578189
230,551,200.130305985255
551,306,148.94978622504334
306,582,114.00000010292563
582,453,194.19489492340028
551,971,122.78019082564795
971,703,357.60249424127187
703,76,292.1633573672268
76,856,135.70544712953497
856,432,266.6499912979098
955,530,257.88713985193965
500,423,445.4939068619352
423,657,297.9697820176211
657,449,865.5773582748402
713,961,417.3431298849229
961,557,155.13537066824483
370,172,282.1409218750849
944,914,2.2782851051788557
914,944,2.2782851051788557
944,939,1409.1233833281822
939,944,1409.1233833281822
939,932,9.77881679911277
932,939,9.77881679911277
932,911,5258.984811067178
911,932,5258.984811067178
682,839,569.8127257054306
839,851,118.448284089034
178,15,391.99647773385334
15,281,306.0000002670788
281,173,589.7091533566372
373,42,523.6220400307052
42,801,442.97370837894005
801,559,314.00306847122226
927,883,443.4080977564247
672,812,161.36754520724142
486,812,503.9839349190545
486,191,521.4007014700347
191,219,406.6137109089061
219,236,585.166732659943
234,177,310.8468071416554
177,703,551.3508510881188
875,494,491.77025754501375
921,897,5.283103340417682
897,921,5.283103340417682
897,935,2009.266110121828
935,897,2009.266110121828
935,904,0.8040368225216044
904,935,0.8040368225216044
904,952,2374.4015165878154
926,904,2370.0212386544185
952,888,445.10460672184377
888,937,1224.2158428545006
937,907,6.556041602969677
907,937,6.556041602969677
882,926,461.26143347590073
882,922,5138.331172616115
905,882,5143.435541406877
